"response","Country","Number","question"
"Not a threat at all","Botswana",5.86642446,"Ques__threat_20_years"
"Not a threat at all","Brazil",6.326300105,"Ques__threat_20_years"
"Not a threat at all","Bulgaria",14.06146864,"Ques__threat_20_years"
"Not a threat at all","Burkina.Faso",2.739468729,"Ques__threat_20_years"
"Not a threat at all","Cambodia",6.050959086,"Ques__threat_20_years"
"Not a threat at all","Cameroon",7.533800462,"Ques__threat_20_years"
"Not a threat at all","Canada",12.57825741,"Ques__threat_20_years"
"Not a threat at all","Caribbean",5.785822652,"Ques__threat_20_years"
"Not a threat at all","Chile",1.422016662,"Ques__threat_20_years"
"Not a threat at all","Colombia",2.462332723,"Ques__threat_20_years"
"Not a threat at all","Congo..Democratic.Republic.of.the.",11.90059491,"Ques__threat_20_years"
"Not a threat at all","Costa.Rica",2.24828728,"Ques__threat_20_years"
"Not a threat at all","Cote.d.Ivoire",5.583289235,"Ques__threat_20_years"
"Not a threat at all","Croatia",7.728322212,"Ques__threat_20_years"
"Not a threat at all","Cyprus",7.6813447,"Ques__threat_20_years"
"Not a threat at all","Czechia",24.26572821,"Ques__threat_20_years"
"Not a threat at all","Denmark",17.54391432,"Ques__threat_20_years"
"Not a threat at all","Dominican.Republic",7.620779446,"Ques__threat_20_years"
"Not a threat at all","Ecuador",3.094373683,"Ques__threat_20_years"
"Not a threat at all","Egypt",11.64189006,"Ques__threat_20_years"
"Not a threat at all","El.Salvador",2.40129304,"Ques__threat_20_years"
"Not a threat at all","Finland",21.85850134,"Ques__threat_20_years"
"Not a threat at all","France",6.65184959,"Ques__threat_20_years"
"Not a threat at all","Germany",17.28893824,"Ques__threat_20_years"
"Not a threat at all","Ghana",4.380718219,"Ques__threat_20_years"
"Not a threat at all","Greece",7.576283814,"Ques__threat_20_years"
"Not a threat at all","Guatemala",5.119657639,"Ques__threat_20_years"
"Not a threat at all","Haiti",11.34666617,"Ques__threat_20_years"
"Not a threat at all","Honduras",4.039679922,"Ques__threat_20_years"
"Not a threat at all","Hong.Kong",11.5066792,"Ques__threat_20_years"
"Not a threat at all","Hungary",4.320357607,"Ques__threat_20_years"
"Not a threat at all","India",4.081193715,"Ques__threat_20_years"
"Not a threat at all","Indonesia",9.879203279,"Ques__threat_20_years"
"Not a threat at all","Iraq",16.59397547,"Ques__threat_20_years"
"Not a threat at all","Ireland",11.07790985,"Ques__threat_20_years"
"Not a threat at all","Israel",11.28196149,"Ques__threat_20_years"
"Not a threat at all","Italy",4.938846436,"Ques__threat_20_years"
"Not a threat at all","Jamaica",8.055328844,"Ques__threat_20_years"
"Not a threat at all","Japan",6.094310791,"Ques__threat_20_years"
"Not a threat at all","Jordan",16.92573034,"Ques__threat_20_years"
"Not a threat at all","Kenya",7.195785881,"Ques__threat_20_years"
"Not a threat at all","Kosovo",12.07060336,"Ques__threat_20_years"
"Not a threat at all","Kuwait",10.81489332,"Ques__threat_20_years"
"Not a threat at all","Lao.People.s.Democratic.Republic",8.538016448,"Ques__threat_20_years"
"Not a threat at all","Lebanon",12.55789195,"Ques__threat_20_years"
"Not a threat at all","Libya",14.77973604,"Ques__threat_20_years"
"Not a threat at all","Lithuania",8.614188594,"Ques__threat_20_years"
"Not a threat at all","Malawi",1.966183362,"Ques__threat_20_years"
"Not a threat at all","Malaysia",5.942035314,"Ques__threat_20_years"
"Not a threat at all","Mexico",2.075364897,"Ques__threat_20_years"
"Not a threat at all","Morocco",7.116914031,"Ques__threat_20_years"
"Not a threat at all","Mozambique",6.816657289,"Ques__threat_20_years"
"Not a threat at all","Nepal",7.153412397,"Ques__threat_20_years"
"Not a threat at all","Netherlands",16.93572434,"Ques__threat_20_years"
"Not a threat at all","New.Zealand",11.09589889,"Ques__threat_20_years"
"Not a threat at all","Nicaragua",5.300079609,"Ques__threat_20_years"
"Not a threat at all","Nigeria",9.032450144,"Ques__threat_20_years"
"Not a threat at all","North.MAcedonia",9.384488069,"Ques__threat_20_years"
"Not a threat at all","Norway",24.52207125,"Ques__threat_20_years"
"Not a threat at all","Oman",9.391771332,"Ques__threat_20_years"
"Not a threat at all","Pakistan",7.236917806,"Ques__threat_20_years"
"Not a threat at all","Panama",4.010711948,"Ques__threat_20_years"
"Not a threat at all","Paraguay",4.637441082,"Ques__threat_20_years"
"Not a threat at all","Peru",3.706272578,"Ques__threat_20_years"
"Not a threat at all","Philippines",3.917733966,"Ques__threat_20_years"
"Not a threat at all","Poland",9.653705746,"Ques__threat_20_years"
"Not a threat at all","Portugal",2.524173809,"Ques__threat_20_years"
"Not a threat at all","Puerto.Rico",1.892576306,"Ques__threat_20_years"
"Not a threat at all","Qatar",11.02956848,"Ques__threat_20_years"
"Not a threat at all","Romania",6.337718095,"Ques__threat_20_years"
"Not a threat at all","Saudi.Arabia",13.27349623,"Ques__threat_20_years"
"Not a threat at all","Senegal",8.317146227,"Ques__threat_20_years"
"Not a threat at all","Serbia",6.037514899,"Ques__threat_20_years"
"Not a threat at all","Singapore",5.120822423,"Ques__threat_20_years"
"Not a threat at all","Slovakia",11.99496016,"Ques__threat_20_years"
"Not a threat at all","South.Africa",4.856908024,"Ques__threat_20_years"
"Not a threat at all","South.Korea",4.60364904,"Ques__threat_20_years"
"Not a threat at all","Spain",6.895047531,"Ques__threat_20_years"
"Not a threat at all","Sri.Lanka",3.032326878,"Ques__threat_20_years"
"Not a threat at all","Sub.Saharan.Africa",6.35927855,"Ques__threat_20_years"
"Not a threat at all","Sweden",23.54982729,"Ques__threat_20_years"
"Not a threat at all","Switzerland",14.37755586,"Ques__threat_20_years"
"Not a threat at all","Taiwan",3.484091215,"Ques__threat_20_years"
"Not a threat at all","Tanzania",5.831620916,"Ques__threat_20_years"
"Not a threat at all","Thailand",8.798705018,"Ques__threat_20_years"
"Not a threat at all","Trinidad.and.Tobago",7.600868341,"Ques__threat_20_years"
"Not a threat at all","Tunisia",8.12712978,"Ques__threat_20_years"
"Not a threat at all","Turkey",6.079593836,"Ques__threat_20_years"
"Not a threat at all","United.Arab.Emirates",10.02818881,"Ques__threat_20_years"
"Not a threat at all","United.Kingdom",11.20614111,"Ques__threat_20_years"
"Not a threat at all","United.States",22.27921632,"Ques__threat_20_years"
"Not a threat at all","Uruguay",5.900798798,"Ques__threat_20_years"
"Not a threat at all","Uzbekistan",8.316866285,"Ques__threat_20_years"
"Not a threat at all","Vietnam",3.414015443,"Ques__threat_20_years"
"Not a threat at all","Yemen",23.08660277,"Ques__threat_20_years"
"Not a threat at all","Zambia",6.089614917,"Ques__threat_20_years"
"Don't know","Albania",11.737753,"Ques__threat_20_years"
"Don't know","Algeria",23.19682247,"Ques__threat_20_years"
"Don't know","Angola",11.336394,"Ques__threat_20_years"
"Don't know","Argentina",10.55715979,"Ques__threat_20_years"
"Don't know","Armenia",11.70089302,"Ques__threat_20_years"
"Don't know","Asian...Pacific.Islands",11.0081687,"Ques__threat_20_years"
"Don't know","Australia",5.700828483,"Ques__threat_20_years"
"Don't know","Austria",9.076126826,"Ques__threat_20_years"
"Don't know","Azerbaijan",18.22818948,"Ques__threat_20_years"
"Don't know","Bangladesh",13.52955469,"Ques__threat_20_years"
"Don't know","Belgium",10.32535876,"Ques__threat_20_years"
"Don't know","Benin",20.13393596,"Ques__threat_20_years"
"Don't know","Bolivia..Plurinational.State.of.",10.35396659,"Ques__threat_20_years"
"Don't know","Bosnia.and.Herzegovina",9.849388995,"Ques__threat_20_years"
"Don't know","Botswana",9.434381491,"Ques__threat_20_years"
"Don't know","Brazil",6.271982686,"Ques__threat_20_years"
"Don't know","Bulgaria",12.3878271,"Ques__threat_20_years"
"Don't know","Burkina.Faso",9.481026405,"Ques__threat_20_years"
"Don't know","Cambodia",15.2878518,"Ques__threat_20_years"
"Don't know","Cameroon",13.71181331,"Ques__threat_20_years"
"Don't know","Canada",5.264930683,"Ques__threat_20_years"
"Don't know","Caribbean",11.79826657,"Ques__threat_20_years"
"Don't know","Chile",7.570845598,"Ques__threat_20_years"
"Don't know","Colombia",11.49125695,"Ques__threat_20_years"
"Don't know","Congo..Democratic.Republic.of.the.",19.17960307,"Ques__threat_20_years"
"Don't know","Costa.Rica",6.155072118,"Ques__threat_20_years"
"Don't know","Cote.d.Ivoire",7.76936007,"Ques__threat_20_years"
"Don't know","Croatia",8.589609169,"Ques__threat_20_years"
"Don't know","Cyprus",10.64788072,"Ques__threat_20_years"
"Don't know","Czechia",17.11359133,"Ques__threat_20_years"
"Don't know","Denmark",9.703374779,"Ques__threat_20_years"
"Don't know","Dominican.Republic",19.73295106,"Ques__threat_20_years"
"Don't know","Ecuador",8.2262202,"Ques__threat_20_years"
"Don't know","Egypt",28.00649103,"Ques__threat_20_years"
"Don't know","El.Salvador",9.280410387,"Ques__threat_20_years"
"Don't know","Finland",8.345806845,"Ques__threat_20_years"
"Don't know","France",6.328203034,"Ques__threat_20_years"
"Don't know","Germany",9.406639253,"Ques__threat_20_years"
"Don't know","Ghana",13.5190399,"Ques__threat_20_years"
"Don't know","Greece",6.988684057,"Ques__threat_20_years"
"Don't know","Guatemala",13.49097149,"Ques__threat_20_years"
"Don't know","Haiti",20.3332307,"Ques__threat_20_years"
"Don't know","Honduras",12.95930329,"Ques__threat_20_years"
"Don't know","Hong.Kong",17.50894314,"Ques__threat_20_years"
"Don't know","Hungary",6.809798318,"Ques__threat_20_years"
"Don't know","India",11.44354588,"Ques__threat_20_years"
"Don't know","Indonesia",19.85978699,"Ques__threat_20_years"
"Don't know","Iraq",23.80590591,"Ques__threat_20_years"
"Don't know","Ireland",7.788381721,"Ques__threat_20_years"
"Don't know","Israel",17.87138438,"Ques__threat_20_years"
"Don't know","Italy",9.701706501,"Ques__threat_20_years"
"Don't know","Jamaica",13.27758146,"Ques__threat_20_years"
"Don't know","Japan",5.5010326,"Ques__threat_20_years"
"Don't know","Jordan",28.96378541,"Ques__threat_20_years"
"Don't know","Kenya",6.300034031,"Ques__threat_20_years"
"Don't know","Kosovo",18.94321339,"Ques__threat_20_years"
"Don't know","Kuwait",28.60004172,"Ques__threat_20_years"
"Don't know","Lao.People.s.Democratic.Republic",28.88250368,"Ques__threat_20_years"
"Don't know","Lebanon",22.48321151,"Ques__threat_20_years"
"Don't know","Libya",28.65195807,"Ques__threat_20_years"
"Don't know","Lithuania",8.824885917,"Ques__threat_20_years"
"Don't know","Malawi",2.798665584,"Ques__threat_20_years"
"Don't know","Malaysia",17.06853675,"Ques__threat_20_years"
"Don't know","Mexico",5.383339117,"Ques__threat_20_years"
"Don't know","Morocco",18.36518147,"Ques__threat_20_years"
"Don't know","Mozambique",13.71761373,"Ques__threat_20_years"
"Don't know","Nepal",9.111592193,"Ques__threat_20_years"
"Don't know","Netherlands",11.41040329,"Ques__threat_20_years"
"Don't know","New.Zealand",9.061458511,"Ques__threat_20_years"
"Don't know","Nicaragua",8.291245962,"Ques__threat_20_years"
"Don't know","Nigeria",21.68877966,"Ques__threat_20_years"
"Don't know","North.MAcedonia",10.51535033,"Ques__threat_20_years"
"Don't know","Norway",14.1794854,"Ques__threat_20_years"
"Don't know","Oman",18.63750505,"Ques__threat_20_years"
"Don't know","Pakistan",13.93479504,"Ques__threat_20_years"
"Don't know","Panama",8.478665238,"Ques__threat_20_years"
"Don't know","Paraguay",18.83883293,"Ques__threat_20_years"
"Don't know","Peru",8.183184015,"Ques__threat_20_years"
"Don't know","Philippines",8.154411703,"Ques__threat_20_years"
"Don't know","Poland",8.091601636,"Ques__threat_20_years"
"Don't know","Portugal",4.937025462,"Ques__threat_20_years"
