"response","Country","Number","question"
"Refused","Thailand",0.405227242,"Ques__happening"
"Refused","Trinidad.and.Tobago",0.173141195,"Ques__happening"
"Refused","Tunisia",0.273168849,"Ques__happening"
"Refused","Turkey",0.171866991,"Ques__happening"
"Refused","United.Arab.Emirates",NA,"Ques__happening"
"Refused","United.Kingdom",0.024271413,"Ques__happening"
"Refused","United.States",0.050754294,"Ques__happening"
"Refused","Uruguay",0.175701549,"Ques__happening"
"Refused","Uzbekistan",0.667236134,"Ques__happening"
"Refused","Vietnam",NA,"Ques__happening"
"Refused","Yemen",0.315957037,"Ques__happening"
"Refused","Zambia",1.178528707,"Ques__happening"
"(Unweighted Base)","Albania",329,"Ques__happening"
"(Unweighted Base)","Algeria",1066,"Ques__happening"
"(Unweighted Base)","Angola",727,"Ques__happening"
"(Unweighted Base)","Argentina",1257,"Ques__happening"
"(Unweighted Base)","Armenia",306,"Ques__happening"
"(Unweighted Base)","Asian...Pacific.Islands",1916,"Ques__happening"
"(Unweighted Base)","Australia",1012,"Ques__happening"
"(Unweighted Base)","Austria",1120,"Ques__happening"
"(Unweighted Base)","Azerbaijan",541,"Ques__happening"
"(Unweighted Base)","Bangladesh",910,"Ques__happening"
"(Unweighted Base)","Belgium",1201,"Ques__happening"
"(Unweighted Base)","Benin",665,"Ques__happening"
"(Unweighted Base)","Bolivia..Plurinational.State.of.",1070,"Ques__happening"
"(Unweighted Base)","Bosnia.and.Herzegovina",291,"Ques__happening"
"(Unweighted Base)","Botswana",690,"Ques__happening"
"(Unweighted Base)","Brazil",1048,"Ques__happening"
"(Unweighted Base)","Bulgaria",1012,"Ques__happening"
"(Unweighted Base)","Burkina.Faso",581,"Ques__happening"
"(Unweighted Base)","Cambodia",445,"Ques__happening"
"(Unweighted Base)","Cameroon",606,"Ques__happening"
"(Unweighted Base)","Canada",1026,"Ques__happening"
"(Unweighted Base)","Caribbean",811,"Ques__happening"
"(Unweighted Base)","Chile",1094,"Ques__happening"
"(Unweighted Base)","Colombia",1082,"Ques__happening"
"(Unweighted Base)","Congo..Democratic.Republic.of.the.",587,"Ques__happening"
"(Unweighted Base)","Costa.Rica",1012,"Ques__happening"
"(Unweighted Base)","Cote.d.Ivoire",646,"Ques__happening"
"(Unweighted Base)","Croatia",635,"Ques__happening"
"(Unweighted Base)","Cyprus",494,"Ques__happening"
"(Unweighted Base)","Czechia",1049,"Ques__happening"
"(Unweighted Base)","Denmark",1101,"Ques__happening"
"(Unweighted Base)","Dominican.Republic",884,"Ques__happening"
"(Unweighted Base)","Ecuador",1017,"Ques__happening"
"(Unweighted Base)","Egypt",1206,"Ques__happening"
"(Unweighted Base)","El.Salvador",817,"Ques__happening"
"(Unweighted Base)","Finland",683,"Ques__happening"
"(Unweighted Base)","France",2536,"Ques__happening"
"(Unweighted Base)","Germany",3732,"Ques__happening"
"(Unweighted Base)","Ghana",563,"Ques__happening"
"(Unweighted Base)","Greece",1051,"Ques__happening"
"(Unweighted Base)","Guatemala",1031,"Ques__happening"
"(Unweighted Base)","Haiti",543,"Ques__happening"
"(Unweighted Base)","Honduras",1012,"Ques__happening"
"(Unweighted Base)","Hong.Kong",417,"Ques__happening"
"(Unweighted Base)","Hungary",1280,"Ques__happening"
"(Unweighted Base)","India",2574,"Ques__happening"
"(Unweighted Base)","Indonesia",1178,"Ques__happening"
"(Unweighted Base)","Iraq",1403,"Ques__happening"
"(Unweighted Base)","Ireland",977,"Ques__happening"
"(Unweighted Base)","Israel",914,"Ques__happening"
"(Unweighted Base)","Italy",1279,"Ques__happening"
"(Unweighted Base)","Jamaica",375,"Ques__happening"
"(Unweighted Base)","Japan",1174,"Ques__happening"
"(Unweighted Base)","Jordan",1315,"Ques__happening"
"(Unweighted Base)","Kenya",1423,"Ques__happening"
"(Unweighted Base)","Kosovo",295,"Ques__happening"
"(Unweighted Base)","Kuwait",568,"Ques__happening"
"(Unweighted Base)","Lao.People.s.Democratic.Republic",323,"Ques__happening"
"(Unweighted Base)","Lebanon",653,"Ques__happening"
"(Unweighted Base)","Libya",763,"Ques__happening"
"(Unweighted Base)","Lithuania",1162,"Ques__happening"
"(Unweighted Base)","Malawi",874,"Ques__happening"
"(Unweighted Base)","Malaysia",1153,"Ques__happening"
"(Unweighted Base)","Mexico",1218,"Ques__happening"
"(Unweighted Base)","Morocco",788,"Ques__happening"
"(Unweighted Base)","Mozambique",756,"Ques__happening"
"(Unweighted Base)","Nepal",896,"Ques__happening"
"(Unweighted Base)","Netherlands",978,"Ques__happening"
"(Unweighted Base)","New.Zealand",971,"Ques__happening"
"(Unweighted Base)","Nicaragua",519,"Ques__happening"
"(Unweighted Base)","Nigeria",1382,"Ques__happening"
"(Unweighted Base)","North.MAcedonia",464,"Ques__happening"
"(Unweighted Base)","Norway",1004,"Ques__happening"
"(Unweighted Base)","Oman",499,"Ques__happening"
"(Unweighted Base)","Pakistan",1181,"Ques__happening"
"(Unweighted Base)","Panama",541,"Ques__happening"
"(Unweighted Base)","Paraguay",550,"Ques__happening"
"(Unweighted Base)","Peru",952,"Ques__happening"
"(Unweighted Base)","Philippines",1249,"Ques__happening"
"(Unweighted Base)","Poland",1069,"Ques__happening"
"(Unweighted Base)","Portugal",1029,"Ques__happening"
"(Unweighted Base)","Puerto.Rico",573,"Ques__happening"
"(Unweighted Base)","Qatar",498,"Ques__happening"
"(Unweighted Base)","Romania",907,"Ques__happening"
"(Unweighted Base)","Saudi.Arabia",1252,"Ques__happening"
"(Unweighted Base)","Senegal",502,"Ques__happening"
"(Unweighted Base)","Serbia",949,"Ques__happening"
"(Unweighted Base)","Singapore",369,"Ques__happening"
"(Unweighted Base)","Slovakia",985,"Ques__happening"
"(Unweighted Base)","South.Africa",1369,"Ques__happening"
